deputado;partido;UF;n_ocorrencias
Vicentinho Júnior (PR-TO);PR;TO;0
Adilton Sachetti (PSB-MT);PSB;MT;9
Carlos Bezerra (PMDB-MT);PMDB;MT;9
Fabio Garcia (PSB-MT);PSB;MT;0
Nilson Leitão (PSDB-MT);PSDB;MT;18
Professor Victório Galli (PSC-MT);PSC;MT;1
Ságuas Moraes (PT-MT);PT;MT;9
Tampinha (PSD-MT);PSD;MT;0
Valtenir Pereira (PMDB-MT);PMDB;MT;2
Alex Manente (PPS-SP);PPS;SP;2
Alexandre Leite (DEM-SP);DEM;SP;0
Ana Perugini (PT-SP);PT;SP;0
Andres Sanchez (PT-SP);PT;SP;5
Antonio Bulhões (PRB-SP);PRB;SP;1
Arlindo Chinaglia (PT-SP);PT;SP;1
Arnaldo Faria de Sá (PTB-SP);PTB;SP;0
Arnaldo Jardim (PPS-SP);PPS;SP;1
Baleia Rossi (PMDB-SP);PMDB;SP;12
Beto Mansur (PRB-SP);PRB;SP;47
Bruna Furlan (PSDB-SP);PSDB;SP;1
Bruno Covas (PSDB-SP);PSDB;SP;0
Capitão Augusto (PR-SP);PR;SP;0
Carlos Sampaio (PSDB-SP);PSDB;SP;2
Carlos Zarattini (PT-SP);PT;SP;0
Celso Russomanno (PRB-SP);PRB;SP;2
Dr. Sinval Malheiros (PTN-SP);PTN;SP;1
Duarte Nogueira (PSDB-SP);PSDB;SP;0
Edinho Araújo (PMDB-SP);PMDB;SP;6
Eduardo Bolsonaro (PSC-SP);PSC;SP;0
Eduardo Cury (PSDB-SP);PSDB;SP;15
Eli Corrêa Filho (DEM-SP);DEM;SP;1
Evandro Gussi (PV-SP);PV;SP;0
Fausto Pinato (PP-SP);PP;SP;1
Flavinho (PSB-SP);PSB;SP;0
Floriano Pesaro;PSDB;SP;0
Gilberto Nascimento (PSC-SP);PSC;SP;7
Goulart (PSD-SP);PSD;SP;2
Guilherme Mussi (PP-SP);PP;SP;2
Herculano Passos (PSD-SP);PSD;SP;19
Ivan Valente (PSOL-SP);PSOL;SP;0
Jefferson Campos (PSD-SP);PSD;SP;2
João Paulo Papa (PSDB-SP);PSDB;SP;1
Jorge Tadeu Mudalen (DEM-SP);DEM;SP;0
José Mentor (PT-SP);PT;SP;1
Keiko Ota (PSB-SP);PSB;SP;0
Luiz Lauro Filho (PSB-SP);PSB;SP;0
Luiza Erundina (PSOL-SP);PSOL;SP;1
Major Olimpio (SD-SP);SD;SP;1
Mara Gabrilli (PSDB-SP);PSDB;SP;0
Marcelo Squassoni (PRB-SP);PRB;SP;3
Marcio Alvino (PR-SP);PR;SP;5
Miguel Haddad (PSDB-SP);PSDB;SP;6
Miguel Lombardi (PR-SP);PR;SP;1
Milton Monti (PR-SP);PR;SP;0
Missionário José Olimpio (DEM-SP);DEM;SP;1
Nelson Marquezelli (PTB-SP);PTB;SP;3
Nilto Tatto (PT-SP);PT;SP;0
Orlando Silva (PC do B-SP);PCdoB;SP;4
Paulo Freire (PR-SP);PR;SP;0
Paulo Maluf (PP-SP);PP;SP;12
Paulo Pereira da Silva (SD-SP);SD;SP;10
Paulo Teixeira (PT-SP);PT;SP;2
Pr. Marco Feliciano (PSC-SP);PSC;SP;3
Renata Abreu (PTN-SP);PTN;SP;2
Ricardo Izar (PP-SP);PP;SP;1
Ricardo Tripoli (PSDB-SP);PSDB;SP;0
Roberto Alves (PRB-SP);PRB;SP;2
Roberto de Lucena (PV-SP);PV;SP;0
Rodrigo Garcia (DEM-SP);DEM;SP;1
Samuel Moreira;PSDB;SP;0
Sérgio Reis (PRB-SP);PRB;SP;1
Silvio Torres (PSDB-SP);PSDB;SP;2
Tiririca (PR-SP);PR;SP;0
Valmir Prascidelli (PT-SP);PT;SP;2
Vanderlei Macris (PSDB-SP);PSDB;SP;1
Vicente Candido (PT-SP);PT;SP;2
Vicentinho (PT-SP);PT;SP;0
Vinicius Carvalho (PRB-SP);PRB;SP;0
Vitor Lippi (PSDB-SP);PSDB;SP;11
Alberto Filho (PMDB-MA);PMDB;MA;0
Aluisio Mendes (PTN-MA);PTN;MA;1
André Fufuca (PP-MA);PP;MA;0
Cleber Verde (PRB-MA);PRB;MA;1
Eliziane Gama (PPS-MA);PPS;MA;0
Hildo Rocha (PMDB-MA);PMDB;MA;2
João Castelo (PSDB-MA);PSDB;MA;11
João Marcelo Souza (PMDB-MA);PMDB;MA;0
José Reinaldo (PSB-MA);PSB;MA;3
Junior Marreca (PEN-MA);PEN;MA;12
Juscelino Filho (DEM-MA);DEM;MA;1
Pedro Fernandes (PTB-MA);PTB;MA;1
Rubens Pereira Júnior (PC do B-MA);PCdoB;MA;0
Sarney Filho (PV-MA);PV;MA;1
Victor Mendes (PSD-MA);PSD;MA;0
Waldir Maranhão (PP-MA);PP;MA;6
Weverton Rocha (PDT-MA);PDT;MA;7
Zé Carlos (PT-MA);PT;MA;0
Adail Carneiro;PP;CE;1
Aníbal Gomes (PMDB-CE);PMDB;CE;4
Ariosto Holanda (PDT-CE);PDT;CE;2
Arnon Bezerra (PTB-CE);PTB;CE;1
Cabo Sabino (PR-CE);PR;CE;0
Chico Lopes (PC do B-CE);PCdoB;CE;0
Danilo Forte (PSB-CE);PSB;CE;5
Domingos Neto (PSD-CE);PSD;CE;0
Genecias Noronha (SD-CE);SD;CE;2
Gorete Pereira (PR-CE);PR;CE;2
José Airton Cirilo (PT-CE);PT;CE;0
José Guimarães (PT-CE);PT;CE;1
Leônidas Cristino (PDT-CE);PDT;CE;1
Luizianne Lins (PT-CE);PT;CE;6
Macedo (PP-CE);PP;CE;3
Moroni Torgan (DEM-CE);DEM;CE;0
Moses Rodrigues (PMDB-CE);PMDB;CE;0
Odorico Monteiro (PROS-CE);PROS;CE;3
Raimundo Gomes de Matos (PSDB-CE);PSDB;CE;1
Ronaldo Martins (PRB-CE);PRB;CE;0
Vicente Arruda (PDT-CE);PDT;CE;0
Vitor Valim (PMDB-CE);PMDB;CE;0
Alessandro Molon (REDE-RJ);REDE;RJ;0
Alexandre Serfiotis (PMDB-RJ);PMDB;RJ;0
Alexandre Valle (PR-RJ);PR;RJ;0
Altineu Côrtes (PMDB-RJ);PMDB;RJ;2
Arolde de Oliveira (PSC-RJ);PSC;RJ;0
Aureo (SD-RJ);SD;RJ;0
Benedita da Silva (PT-RJ);PT;RJ;1
Cabo Daciolo (PT do B-RJ);PTdoB;RJ;2
Celso Pansera (PMDB-RJ);PMDB;RJ;1
Chico Alencar (PSOL-RJ);PSOL;RJ;0
Chico D'angelo (PT-RJ);PT;RJ;0
Clarissa Garotinho (PR-RJ);PR;RJ;3
Cristiane Brasil (PTB-RJ);PTB;RJ;1
Deley (PTB-RJ);PTB;RJ;0
Dr. João (PR-RJ);PR;RJ;0
Eduardo Cunha (PMDB-RJ);PMDB;RJ;4
Ezequiel Teixeira (PTN-RJ);PTN;RJ;0
Felipe Bornier (PROS-RJ);PROS;RJ;1
Fernando Jordão (PMDB-RJ);PMDB;RJ;11
Francisco Floriano (DEM-RJ);DEM;RJ;1
Glauber Braga (PSOL-RJ);PSOL;RJ;0
Hugo Leal (PSB-RJ);PSB;RJ;6
Indio da Costa (PSD-RJ);PSD;RJ;0
Jair Bolsonaro (PSC-RJ);PSC;RJ;3
Jandira Feghali (PC do B-RJ);PCdoB;RJ;0
Jean Wyllys (PSOL-RJ);PSOL;RJ;0
